ID,Global_U,Global_V,Map_X,Map_Y,Width_m,Length_m
470,2422,4737,-5.26,15.82,0.17,0.14
471,2273,5317,-6.61,21.10,0.17,0.17
472,2101,5314,-8.19,21.07,0.16,0.15
473,2742,4801,-2.34,16.40,0.12,0.10
474,2148,4533,-7.75,13.96,0.14,0.12
475,2857,5348,-1.30,21.38,0.23,0.25
476,1921,5293,-9.82,20.88,0.21,0.19
477,2595,5057,-3.68,18.73,0.12,0.13
478,2526,4531,-4.31,13.94,0.10,0.09
479,2401,5309,-5.45,21.03,0.28,0.26
480,2243,4983,-6.89,18.06,0.13,0.15
481,2020,5320,-8.92,21.13,0.15,0.19
482,2919,5352,-0.73,21.42,0.14,0.15
483,2310,5340,-6.28,21.31,0.24,0.18
484,1900,4628,-10.02,14.82,0.18,0.18
485,1958,5342,-9.49,21.32,0.15,0.16
486,2932,5370,-0.62,21.58,0.16,0.19
487,2244,4879,-6.88,17.11,0.09,0.10
488,1703,4896,-11.81,17.26,0.15,0.13
489,2229,5348,-7.02,21.38,0.28,0.35
490,2705,5399,-2.68,21.85,0.26,0.28
491,3827,4945,7.53,17.71,0.80,0.71
492,3814,5189,7.42,19.94,0.70,0.76
493,3093,4665,0.85,15.16,0.21,0.22
494,3129,4629,1.17,14.83,0.25,0.24
495,3056,4520,0.51,13.84,0.19,0.20
496,3060,5373,0.55,21.61,0.24,0.26
497,3835,5438,7.60,22.20,0.27,0.26
498,3562,5412,5.12,21.96,0.20,0.25
499,4077,5421,9.81,22.04,0.21,0.24
500,3728,5428,6.63,22.11,0.23,0.26
501,3100,5377,0.91,21.65,0.22,0.28
502,3199,4834,1.82,16.70,0.21,0.20
503,3036,5375,0.33,21.62,0.19,0.22
504,4490,5147,13.57,19.55,0.16,0.17
505,3124,5078,1.13,18.92,0.15,0.18
506,3801,5446,7.29,22.27,0.16,0.20
507,3515,5367,4.69,21.55,0.19,0.24
508,3588,5310,5.35,21.03,0.18,0.18
509,3060,5302,0.55,20.96,0.19,0.15
510,3326,5302,2.97,20.96,0.23,0.20
511,3445,4983,4.06,18.06,0.15,0.16
512,3121,5371,1.11,21.59,0.26,0.31
513,4415,5451,12.89,22.32,0.19,0.21
514,3128,4907,1.17,17.37,0.20,0.19
515,3018,4804,0.17,16.43,0.15,0.14
516,4488,5354,13.55,21.43,0.17,0.16
517,3704,5351,6.41,21.41,0.16,0.18
518,3446,5275,4.07,20.72,0.15,0.17
519,4205,5452,10.98,22.33,0.19,0.23
520,3945,5447,8.61,22.28,0.32,0.25
521,4245,5453,11.34,22.34,0.17,0.19
522,3369,5386,3.36,21.73,0.22,0.25
523,3950,5334,8.65,21.25,0.17,0.20
524,3724,5333,6.60,21.24,0.17,0.15
525,4125,5380,10.24,21.67,0.16,0.16
526,4306,5455,11.90,22.36,0.15,0.17
527,3893,5433,8.14,22.16,0.28,0.28
528,4327,5387,12.08,21.74,0.18,0.19
529,3587,5053,5.34,18.70,0.13,0.15
530,4347,5400,12.27,21.86,0.19,0.19
531,3969,5348,8.82,21.38,0.25,0.21
532,3670,5421,6.10,22.05,0.16,0.19
533,4199,5384,10.92,21.71,0.19,0.18
534,3151,5305,1.37,20.99,0.20,0.21
535,4263,5385,11.50,21.72,0.20,0.21
536,3815,5420,7.42,22.04,0.20,0.19
537,4381,5390,12.58,21.77,0.17,0.15
538,3540,5397,4.92,21.83,0.25,0.25
539,3837,5396,7.63,21.82,0.25,0.27
540,4004,5431,9.14,22.13,0.22,0.24
541,3979,5437,8.91,22.19,0.18,0.18
542,4128,5445,10.27,22.27,0.17,0.17
543,4026,5327,9.35,21.19,0.17,0.21
544,3085,5306,0.78,21.00,0.21,0.21
545,4002,5364,9.12,21.52,0.29,0.24
546,4069,5397,9.74,21.82,0.21,0.18
547,3579,5378,5.28,21.65,0.28,0.22
548,4052,5354,9.58,21.44,0.23,0.23
549,3954,5369,8.69,21.57,0.35,0.25
550,3971,5321,8.84,21.14,0.16,0.17
551,3290,5369,2.64,21.57,0.22,0.22
552,3162,5348,1.48,21.38,0.33,0.26
553,3220,5364,2.01,21.53,0.21,0.17
554,3668,5379,6.09,21.67,0.19,0.19
555,3784,5451,7.14,22.32,0.19,0.21
556,4393,5451,12.68,22.32,0.13,0.18
557,4484,5452,13.51,22.33,0.27,0.22
558,3776,5372,7.07,21.60,0.19,0.25
559,3955,5369,8.70,21.57,0.40,0.31
560,3579,5377,5.27,21.65,0.31,0.25
561,4099,5364,10.01,21.53,0.14,0.15
562,4308,5419,11.91,22.03,0.30,0.25
563,3020,5305,0.18,20.99,0.16,0.14
564,4325,5453,12.06,22.33,0.20,0.24
565,4115,5458,10.16,22.38,0.19,0.19
566,3878,5359,7.99,21.48,0.20,0.21
567,3029,5328,0.26,21.20,0.22,0.19
568,3411,5262,3.74,20.60,0.09,0.09
569,4657,4946,15.09,17.72,0.53,0.48
570,4857,5160,16.91,19.67,0.22,0.20
571,4824,5158,16.61,19.65,0.18,0.21
572,4936,4847,17.63,16.82,0.25,0.25
573,4784,4980,16.24,18.03,0.18,0.18
574,4945,4963,17.71,17.88,0.20,0.19
575,4939,4884,17.65,17.16,0.20,0.23
576,4938,4790,17.65,16.30,0.22,0.23
577,4789,5196,16.29,20.00,0.15,0.14
578,4897,5317,17.28,21.10,0.23,0.20
579,4915,5259,17.44,20.57,0.26,0.29
580,4953,5028,17.79,18.46,0.15,0.20
581,4867,5348,17.00,21.38,0.32,0.31
582,4920,4974,17.49,17.98,0.17,0.19
583,4606,4519,14.63,13.84,0.15,0.17
584,4855,5423,16.89,22.07,0.19,0.26
585,4902,5348,17.32,21.38,0.20,0.18
586,4706,5427,15.53,22.10,0.27,0.30
587,4714,5377,15.61,21.64,0.21,0.18
588,4873,4760,17.05,16.02,0.22,0.24
589,4852,4685,16.86,15.35,0.20,0.25
590,4624,4603,14.79,14.60,0.20,0.21
591,4861,5323,16.94,21.16,0.18,0.15
592,4914,5389,17.43,21.76,0.26,0.26
