ID,Global_U,Global_V,Map_X,Map_Y,Width_m,Length_m
280,1607,4351,-12.68,12.31,0.15,0.17
281,2228,4223,-7.02,11.14,0.15,0.15
282,2454,3933,-4.97,8.49,0.17,0.18
283,2428,3534,-5.20,4.87,0.15,0.15
284,2953,3749,-0.43,6.82,0.18,0.17
285,2353,3007,-5.89,0.07,0.15,0.14
286,2638,3778,-3.30,7.09,0.11,0.14
287,1618,3393,-12.58,3.58,0.13,0.16
288,2950,3923,-0.46,8.41,0.15,0.14
289,2420,3326,-5.28,2.97,0.17,0.17
290,2843,4203,-1.43,10.96,0.13,0.12
291,2417,4468,-5.31,13.37,0.16,0.20
292,1947,4255,-9.59,11.43,0.16,0.14
293,2602,3394,-3.62,3.59,0.11,0.11
294,2566,3253,-3.95,2.31,0.13,0.14
295,2594,4315,-3.70,11.98,0.13,0.12
296,2740,3781,-2.36,7.11,0.12,0.11
297,2531,3532,-4.27,4.84,0.15,0.15
298,2451,4470,-4.99,13.39,0.10,0.12
299,2737,3326,-2.39,2.97,0.13,0.13
300,2630,3821,-3.36,7.48,0.17,0.14
301,2738,3186,-2.38,1.69,0.14,0.13
302,2273,3827,-6.62,7.53,0.09,0.11
303,2953,4447,-0.43,13.18,0.09,0.08
304,2314,3753,-6.25,6.86,0.11,0.12
305,2630,3821,-3.36,7.48,0.15,0.12
306,2915,3919,-0.77,8.37,0.10,0.13
307,2524,4182,-4.33,10.77,0.10,0.10
308,2405,3712,-5.42,6.49,0.13,0.12
309,3239,3157,2.18,1.43,0.86,0.93
310,4480,4254,13.48,11.42,0.25,0.23
311,3513,3258,4.68,2.35,0.21,0.20
312,4290,4062,11.75,9.67,0.25,0.23
313,3018,4066,0.17,9.71,0.17,0.18
314,3723,3292,6.59,2.66,0.19,0.20
315,3407,3187,3.71,1.70,0.24,0.22
316,3899,3707,8.19,6.44,0.18,0.18
317,3519,3217,4.73,1.98,0.20,0.17
318,3660,3081,6.01,0.74,0.22,0.20
319,3793,3569,7.22,5.19,0.21,0.25
320,4004,3219,9.15,1.99,0.19,0.22
321,4043,3428,9.50,3.90,0.16,0.15
322,4075,3252,9.79,2.30,0.18,0.17
323,3232,3640,2.11,5.83,0.16,0.17
324,3729,4170,6.64,10.65,0.18,0.20
325,3480,3009,4.37,0.08,0.17,0.16
326,4304,3719,11.88,6.55,0.23,0.18
327,3370,3292,3.37,2.66,0.15,0.15
328,3410,3045,3.74,0.41,0.15,0.18
329,4456,3617,13.26,5.62,0.16,0.17
330,4009,4275,9.19,11.61,0.15,0.16
331,3006,3086,0.06,0.78,0.12,0.31
332,3619,3887,5.64,8.08,1.34,0.56
333,3709,3978,6.46,8.91,0.91,0.76
334,3129,3675,1.18,6.15,0.14,0.16
335,3825,3152,7.52,1.39,0.15,0.23
336,3797,3393,7.26,3.58,0.18,0.16
337,3864,4237,7.87,11.26,0.14,0.16
338,4282,4412,11.67,12.86,0.16,0.15
339,3798,4237,7.27,11.27,0.20,0.15
340,4259,3430,11.47,3.92,0.15,0.12
341,3445,3604,4.05,5.50,0.13,0.16
