9.492277996799854956e-01,2.317161323998929157e-01,2.127773914219477092e-01
-1.994515526070393396e-01,-7.768593945721556926e-01,5.972508344302459582e-01
4.922817790002693705e-01,-4.672273861559493313e-01,-7.344094360029761459e-01
7.670132132156498930e-03,-9.252705556881101190e-01,3.792302306642909571e-01
-5.495722425815929846e-01,-7.419431143764444458e-01,3.840452645369046292e-01
9.975054133099213738e-01,-6.920190497839626143e-02,1.393006693321813781e-02
-4.616583356001109917e-01,4.141728083584887976e-01,-7.844313009992512908e-01
8.083115338037538677e-02,9.951511963670692795e-01,5.603945942270405906e-02
9.766406601257981990e-01,2.057795597454365744e-01,6.186916663427277641e-02
-5.593779978373533135e-01,8.223076455484716885e-01,-1.044336708538167457e-01
-6.606357230060168062e-01,-7.432158004256150807e-01,1.057861781426558956e-01
-4.144529396921795006e-01,-8.909871100687263290e-01,1.853934477587871055e-01
